t,energy
1.4455051745215433e10,-1.4934337107273577e27
1.4628922819595598e10,-1.4933619017853142e27
1.4802793893975763e10,-1.4932586189674996e27
1.497666496835593e10,-1.4931293936291044e27
1.5150536042736095e10,-1.4929805242719742e27
1.532440711711626e10,-1.492818892671177e27
1.5498278191496426e10,-1.4926517502326576e27
1.567214926587659e10,-1.4924864238258724e27
1.5846020340256756e10,-1.4923301894547004e27
1.601989141463692e10,-1.492189912488052e27
1.6193762489017086e10,-1.4920717235574904e27
1.6367633563397251e10,-1.491980693687774e27
1.6541504637777418e10,-1.49192053977248e27
1.6715375712157583e10,-1.4918933946414936e27
1.6889246786537748e10,-1.4918933961008204e27
1.7063117860917913e10,-1.491893397450861e27
1.7236988935298077e10,-1.491893398731914e27
1.7410860009678246e10,-1.49189339996744e27
1.758473108405841e10,-1.491893401166315e27
1.7758602158438576e10,-1.491893402326251e27
1.793247323281874e10,-1.4918934034373472e27
1.8106344307198906e10,-1.4918934044852706e27
1.828021538157907e10,-1.4918934054538367e27
1.8454086455959236e10,-1.4918934063269668e27
1.86279575303394e10,-1.491893407090053e27
1.8801828604719566e10,-1.491893407730853e27
1.897569967909973e10,-1.4918934082400035e27
1.9149570753479897e10,-1.491893408611267e27
1.932344182786006e10,-1.491893408841642e27
1.9497312902240227e10,-1.4918934054412772e27
1.967118397662039e10,-1.491865977995688e27
1.9845055051000557e10,-1.4918116755767482e27
2.0018926125380722e10,-1.4917339600930236e27
2.0192797199760887e10,-1.4916370418500392e27
2.0366668274141052e10,-1.4915257232551764e27
2.0540539348521217e10,-1.4914052340977067e27
2.0714410422901386e10,-1.4912810534902715e27
2.088828149728155e10,-1.491158714809098e27
2.1062152571661716e10,-1.491043593271531e27
2.123602364604188e10,-1.490940680664914e27
2.1409894720422047e10,-1.4908543573086954e27
2.158376579480221e10,-1.4907881764026536e27
2.1757636869182377e10,-1.4907446792155602e27
2.1931507943562542e10,-1.4907252600524353e27
2.2105379017942707e10,-1.4907252304492587e27
2.2279250092322872e10,-1.4907251817979854e27
2.2453121166703037e10,-1.4907251157293548e27
2.2626992241083202e10,-1.4907250385776275e27
2.2800863315463367e10,-1.4907249616289021e27
2.2974734389843533e10,-1.4907248998721018e27
2.3148605464223698e10,-1.4907248692316278e27
2.3322476538603863e10,-1.4907248692997403e27
2.3496347612984028e10,-1.4907248693235225e27
2.3670218687364193e10,-1.4907248692896375e27
2.3844089761744358e10,-1.490724869185834e27
2.4017960836124527e10,-1.49072486900106e27
2.4191831910504692e10,-1.4907248687256795e27
2.4365702984884857e10,-1.490724868351727e27
2.4539574059265022e10,-1.4907248678731528e27
2.4713445133645187e10,-1.4907248672860455e27
2.4887316208025352e10,-1.4907046146426287e27
2.5061187282405518e10,-1.4906643054284213e27
2.5235058356785683e10,-1.4906065218787073e27
2.5408929431165848e10,-1.490534435173365e27
2.5582800505546013e10,-1.4904516746723495e27
2.5756671579926178e10,-1.4903621882844573e27
2.5930542654306343e10,-1.4902700934312375e27
2.610441372868651e10,-1.4901795189299073e27
2.6278284803066673e10,-1.4900944400098508e27
2.645215587744684e10,-1.490018511255521e27
2.6626026951827003e10,-1.489954905006477e27
2.679989802620717e10,-1.4899061650063396e27
2.6973769100587334e10,-1.4898740862570105e27
2.7147640174967503e10,-1.489859631648029e27
2.7321511249347668e10,-1.489859625941032e27
2.7495382323727833e10,-1.4898596167936565e27
2.7669253398107998e10,-1.4898596055332803e27
2.7843124472488163e10,-1.4898595932865745e27
2.801699554686833e10,-1.4898595810042473e27
2.8190866621248493e10,-1.489859569549161e27
2.836473769562866e10,-1.4898595599272966e27
2.8538608770008823e10,-1.4898595536432575e27
2.871247984438899e10,-1.4898595525389732e27
2.8886350918769154e10,-1.4898595570903266e27
2.906022199314932e10,-1.4898595647352628e27
2.9234093067529484e10,-1.489859570808141e27
2.940796414190965e10,-1.4898595708701042e27
2.9581835216289814e10,-1.489859561821478e27
2.975570629066998e10,-1.4898595417632755e27
2.9929577365050144e10,-1.489859509974952e27
3.010344843943031e10,-1.48984496007293e27
3.0277319513810474e10,-1.4898154264382513e27
3.0451190588190643e10,-1.4897728224125352e27
3.062506166257081e10,-1.4897195212008478e27
3.0798932736950974e10,-1.4896582500178267e27
3.097280381133114e10,-1.4895919757108093e27
3.1146674885711304e10,-1.4895237724497432e27
3.132054596009147e10,-1.4894566964736336e27
3.1494417034471634e10,-1.4893936918207732e27
3.16682881088518e10,-1.4893374485209862e27
3.1842159183231964e10,-1.4892902867363515e27
3.201603025761213e10,-1.4892540551749856e27
3.2189901331992294e10,-1.4892300504581184e27
3.236377240637246e10,-1.4892189635396076e27
3.2537643480752625e10,-1.489218965378255e27
3.271151455513279e10,-1.4892189669593455e27
3.2885385629512955e10,-1.489218968340455e27
3.305925670389312e10,-1.489218969566348e27
3.3233127778273285e10,-1.4892189706695128e27
3.340699885265345e10,-1.4892189716719703e27
3.3580869927033615e10,-1.48921897258748e27
3.3754741001413784e10,-1.4892189734236718e27
3.392861207579395e10,-1.489218974183904e27
3.4102483150174114e10,-1.4892189748688116e27
3.427635422455428e10,-1.489218975477528e27
3.445022529893444e10,-1.4892189760086336e27
3.4624096373314606e10,-1.489218976460875e27
3.479796744769477e10,-1.4892189768336975e27
3.4971838522074936e10,-1.4892189771276137e27
3.51457095964551e10,-1.4892189735410549e27
3.531958067083527e10,-1.489208853092761e27
